Time(s);RTF
0.10;1.05
0.20;1.00
0.30;0.94
0.40;1.00
0.50;1.03
0.60;1.03
0.70;0.99
0.80;0.98
0.90;0.99
1.00;0.98
1.10;1.06
1.20;1.01
1.30;0.97
1.40;1.01
1.50;0.99
1.60;0.96
1.70;1.01
1.80;1.00
1.90;1.00
2.00;1.01
2.10;1.03
2.20;1.00
2.30;0.98
2.40;0.94
2.50;1.01
2.60;1.02
2.70;0.99
2.80;1.00
2.90;1.04
3.00;0.98
3.10;1.04
3.20;0.97
3.30;1.02
3.40;0.97
3.50;1.05
3.60;0.97
3.70;1.00
3.80;1.04
3.90;0.98
4.00;0.98
4.10;1.02
4.20;0.97
4.30;1.01
4.40;0.94
4.50;1.07
4.60;1.03
4.70;0.97
4.80;1.00
4.90;1.03
5.00;0.95
5.10;1.02
5.20;1.04
5.30;0.96
5.40;0.85
5.50;1.22
5.60;0.99
5.70;1.02
5.80;1.00
5.90;0.99
6.00;0.97
6.10;1.05
6.20;0.99
6.30;1.01
6.40;0.98
6.50;1.01
6.60;1.02
6.70;1.00
6.80;0.99
6.90;1.00
7.00;1.01
7.10;0.98
7.20;1.01
7.30;0.99
7.40;1.01
7.50;1.00
7.60;0.90
7.70;1.10
7.80;1.00
7.90;0.99
8.00;1.00
8.10;1.00
8.20;1.01
8.30;0.97
8.40;0.95
8.50;1.06
8.60;0.96
8.70;1.00
8.80;0.98
8.90;1.00
9.00;1.01
9.10;0.97
9.20;1.03
9.30;0.99
9.40;0.99
9.50;1.02
9.60;0.99
9.70;0.98
9.80;1.00
9.90;1.01
10.00;1.01
10.10;0.98
10.20;1.00
10.30;1.02
10.40;0.98
10.50;0.99
10.60;0.98
10.70;1.04
10.80;0.99
10.90;0.99
11.00;0.99
11.10;1.00
11.20;1.03
11.30;0.95
11.40;1.05
11.50;0.96
11.60;1.02
11.70;1.00
11.80;0.98
11.90;1.07
12.00;1.07
12.10;1.00
12.20;0.99
12.30;1.01
12.40;1.01
12.50;0.96
12.60;0.99
12.70;1.03
12.80;0.93
12.90;1.10
13.00;1.00
13.10;0.94
13.20;1.01
13.30;1.00
13.40;1.06
13.50;0.95
13.60;1.04
13.70;1.01
13.80;0.93
13.90;1.05
14.00;0.84
14.10;1.03
14.20;1.08
14.30;0.92
14.40;1.19
14.50;0.99
14.60;1.00
14.70;1.00
14.80;0.93
14.90;1.08
15.00;1.04
15.10;1.00
15.20;0.96
15.30;1.04
15.40;0.92
15.50;1.03
15.60;1.01
15.70;1.03
15.80;1.02
15.90;1.02
16.00;0.98
16.10;0.93
16.20;1.10
16.30;1.01
16.40;1.00
16.50;0.95
16.60;1.05
16.70;1.01
16.80;1.00
16.90;0.94
17.00;1.04
17.10;1.00
17.20;1.03
17.30;1.00
17.40;0.96
17.50;1.04
17.60;1.01
17.70;1.00
17.80;0.92
17.90;1.00
18.00;1.08
18.10;1.00
18.20;0.97
18.30;0.95
18.40;1.03
18.50;1.03
18.60;1.02
18.70;1.01
18.80;0.93
18.90;1.05
19.00;0.96
19.10;1.06
19.20;0.98
19.30;1.00
19.40;0.93
19.50;1.10
19.60;0.98
19.70;0.99
19.80;0.93
19.90;1.15
20.00;1.00
20.10;0.94
20.20;1.06
20.30;0.98
20.40;1.01
20.50;0.96
20.60;1.07
20.70;1.00
20.80;0.98
20.90;0.98
21.00;0.83
21.10;1.21
21.20;1.08
21.30;0.94
21.40;1.02
21.50;1.01
21.60;0.94
21.70;1.08
21.80;1.02
21.90;0.97
22.00;1.00
22.10;1.04
22.20;1.00
22.30;0.96
22.40;1.02
22.50;0.95
22.60;1.07
22.70;0.97
22.80;0.98
22.90;1.01
23.00;0.99
23.10;0.90
23.20;1.08
23.30;1.01
23.40;1.06
23.50;1.00
23.60;0.93
23.70;1.09
23.80;0.93
23.90;1.07
24.00;0.98
24.10;1.00
24.20;0.94
24.30;1.03
24.40;1.03
24.50;1.04
24.60;0.99
24.70;1.00
24.80;0.88
24.90;1.06
25.00;1.02
25.10;1.07
25.20;0.85
25.30;1.16
25.40;1.04
25.50;1.02
25.60;0.95
25.70;1.03
25.80;1.02
25.90;1.01
26.00;0.99
26.10;0.96
26.20;1.04
26.30;0.89
26.40;1.14
26.50;0.95
26.60;0.91
26.70;1.14
26.80;1.01
26.90;1.02
27.00;0.99
27.10;0.98
27.20;1.04
27.30;1.00
27.40;1.00
27.50;1.00
27.60;0.99
27.70;1.00
27.80;0.99
27.90;1.00
28.00;0.96
28.10;1.05
28.20;1.01
28.30;0.97
28.40;0.97
28.50;1.06
28.60;0.99
28.70;0.96
28.80;1.03
28.90;1.02
29.00;0.99
29.10;1.02
29.20;1.00
29.30;0.99
29.40;0.93
29.50;1.11
29.60;0.98
29.70;0.98
29.80;1.00
29.90;1.04
30.00;0.93
30.10;1.08
30.20;0.94
30.30;1.05
30.40;1.01
30.50;1.00
30.60;1.00
30.70;0.97
30.80;1.04
30.90;0.94
31.00;1.07
31.10;0.99
31.20;1.00
31.30;1.01
31.40;0.90
31.50;1.10
31.60;0.98
31.70;0.94
31.80;1.11
31.90;1.00
32.00;0.97
32.10;1.01
32.20;1.00
32.30;0.97
32.40;0.96
32.50;1.09
32.60;0.99
32.70;1.01
32.80;0.99
32.90;0.98
33.00;1.02
33.10;0.92
33.20;1.11
33.30;0.99
33.40;1.00
33.50;0.93
33.60;1.08
33.70;1.00
33.80;1.01
33.90;0.90
34.00;1.12
34.10;0.89
34.20;1.16
34.30;1.01
34.40;0.95
34.50;1.05
34.60;1.00
34.70;1.00
34.80;1.00
34.90;1.00
35.00;0.95
35.10;1.05
35.20;0.97
35.30;0.99
35.40;1.00
35.50;1.01
35.60;1.00
35.70;1.04
35.80;0.98
35.90;1.04
36.00;0.99
36.10;0.97
36.20;0.97
36.30;1.02
36.40;1.00
36.50;1.02
36.60;1.02
36.70;1.01
36.80;1.00
36.90;0.96
37.00;1.00
37.10;1.05
37.20;0.98
37.30;0.95
37.40;0.97
37.50;0.94
37.60;0.87
37.70;1.46
37.80;0.94
37.90;1.07
38.00;0.95
38.10;1.05
38.20;0.90
38.30;1.07
38.40;1.04
38.50;0.91
38.60;1.02
38.70;1.05
38.80;1.02
38.90;0.98
39.00;1.03
39.10;1.00
39.20;1.01
39.30;0.95
39.40;1.04
39.50;0.94
39.60;1.02
39.70;0.97
39.80;1.07
39.90;1.01
40.00;1.00
40.10;1.01
40.20;0.97
40.30;0.98
40.40;1.04
40.50;0.95
40.60;1.01
40.70;1.05
40.80;1.00
40.90;1.00
41.00;0.94
41.10;1.04
41.20;1.01
41.30;0.99
41.40;1.03
41.50;0.95
41.60;1.06
41.70;0.91
41.80;1.10
41.90;1.00
42.00;0.94
42.10;1.04
42.20;0.99
42.30;0.88
42.40;1.20
42.50;0.98
42.60;0.95
42.70;1.02
42.80;0.92
42.90;1.14
43.00;0.95
43.10;1.07
43.20;0.98
43.30;0.98
43.40;1.03
43.50;1.01
43.60;1.00
43.70;0.99
43.80;0.91
43.90;1.06
44.00;1.06
44.10;1.00
44.20;1.01
44.30;0.99
44.40;0.98
44.50;1.00
44.60;0.88
44.70;1.15
44.80;1.01
44.90;0.92
45.00;1.07
45.10;0.99
45.20;0.91
45.30;1.12
45.40;1.00
45.50;1.04
45.60;0.97
45.70;1.01
45.80;0.97
45.90;0.98
46.00;1.01
46.10;0.99
46.20;0.90
46.30;1.11
46.40;1.07
46.50;0.99
46.60;0.92
46.70;1.12
46.80;0.98
46.90;0.97
47.00;1.04
47.10;1.01
47.20;0.98
47.30;1.04
47.40;0.99
47.50;1.01
47.60;0.98
47.70;1.02
47.80;0.88
47.90;1.15
48.00;0.99
48.10;0.96
48.20;0.99
48.30;1.06
48.40;0.95
48.50;0.99
48.60;1.08
48.70;1.00
48.80;1.00
48.90;0.88
49.00;1.04
49.10;0.90
49.20;1.36
49.30;0.93
49.40;0.94
49.50;1.02
49.60;0.95
49.70;1.23
49.80;0.93
49.90;0.99
50.00;0.92
50.10;1.08
50.20;1.10
50.30;0.92
50.40;0.93
50.50;1.02
50.60;0.96
50.70;1.04
50.80;0.94
50.90;1.08
51.00;0.91
51.10;1.05
51.20;1.08
51.30;0.97
51.40;1.04
51.50;1.10
51.60;0.93
51.70;1.00
51.80;0.95
51.90;0.95
52.00;1.21
52.10;0.94
52.20;1.13
